,url,Title,http_Request,API_endpoint,Code
0,https://apidocs.document360.com/apidocs/get-article,Gets an article,GET,/v2/Articles/{articleId}/{langCode},"curl --request GET \
  --url 'https://apihub.document360.io/v2/Articles/%7BarticleId%7D/en?isForDisplay=False&isPublished=False&appendSASToken=True' \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
1,https://apidocs.document360.com/apidocs/gets-all-version-languages-in-the-project,Gets all version languages in the project,GET,/v2/Language/{projectVersionId},"curl --request GET \
  --url https://apihub.document360.io/v2/Language/%7BprojectVersionId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
2,https://apidocs.document360.com/apidocs/get-status-of-the-import,Get the status of import,GET,/v2/Project/Import/{importId},"curl --request GET \
  --url https://apihub.document360.io/v2/Project/Import/%7BimportId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
3,https://apidocs.document360.com/apidocs/import-documentation,Import documentation,POST,/v2/Project/Import,"{
 ""source_documentation_url"": ""string"",
 ""publish_article"": true,
 ""import_by"": ""string""
}
curl --request POST \
  --url https://apihub.document360.io/v2/Project/Import \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""source_documentation_url"": ""string"",
 ""publish_article"": true,
 ""import_by"": ""string""
}'


"
4,https://apidocs.document360.com/apidocs/export-documentation,Start a new export,POST,/v2/Project/Export,"
{
 ""entity"": ""string"",
 ""version_id"": [
  ""string""
 ],
 ""selected_languages"": [
  {
   ""code"": ""string"",
   ""id"": ""string"",
   ""version_id"": ""string""


 ""selected_categories"": [
  {
   ""language_id"": ""string"",
   ""id"": ""string"",
   ""version_id"": ""string""
  }
 ],
curl --request POST \
  --url https://apihub.document360.io/v2/Project/Export \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""entity"": ""string"",
 ""version_id"": [
  ""string""
 ],


   ""code"": ""string"",
   ""id"": ""string"",
   ""version_id"": ""string""
  }
 ],
 ""selected_categories"": [
  {


"
5,https://apidocs.document360.com/apidocs/get-status-of-the-export,Get the status of export,GET,/v2/Project/Export/{exportId},"curl --request GET \
  --url https://apihub.document360.io/v2/Project/Export/%7BexportId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
6,https://apidocs.document360.com/apidocs/get-roles,Get all available roles including default as well as custom roles,GET,/v2/Teams/roles,"curl --request GET \
  --url https://apihub.document360.io/v2/Teams/roles \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
7,https://apidocs.document360.com/apidocs/update-portal-role,Update the portal role of a individual user,PUT,/v2/Teams/{userId}/portal,"{
 ""associated_portal_role_id"": ""string"",
 ""is_invitation_id"": true
}
curl --request PUT \
  --url https://apihub.document360.io/v2/Teams/%7BuserId%7D/portal \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""associated_portal_role_id"": ""string"",
 ""is_invitation_id"": true
}'


"
8,https://apidocs.document360.com/apidocs/update-content-role,Update the content roles of an individual user,PUT,/v2/Teams/{userId}/content,"{
 ""content_permissions"": [
  {
   ""associated_content_role_id"": ""string"",
   ""access_scope"": {
    ""access_level"": 1,
    ""categories"": [
     {
      ""project_version_id"": ""string"",
      ""category_id"": ""string"",


    ],
    ""project_versions"": [
     ""string""
    ],
    ""languages"": [
     {
      ""project_version_id"": ""string"",
curl --request PUT \
  --url https://apihub.document360.io/v2/Teams/%7BuserId%7D/content \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""content_permissions"": [
  {
   ""associated_content_role_id"": ""string"",
   ""access_scope"": {


     {
      ""project_version_id"": ""string"",
      ""category_id"": ""string"",
      ""language_code"": ""string""
     }
    ],
    ""project_versions"": [


"
9,https://apidocs.document360.com/apidocs/get-users,Get all team accounts,GET,/v2/Teams,"curl --request GET \
  --url 'https://apihub.document360.io/v2/Teams?skip=0&take=20' \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
10,https://apidocs.document360.com/apidocs/delete-user,Deletes a user with an ID,DELETE,/v2/Teams/{userId},"curl --request DELETE \
  --url https://apihub.document360.io/v2/Teams/%7BuserId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
11,https://apidocs.document360.com/apidocs/email-validation,Checks if email already exists in the project,GET,/v2/Teams/email-exists,"curl --request GET \
  --url 'https://apihub.document360.io/v2/Teams/email-exists?isAnSsoUser=False' \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
12,https://apidocs.document360.com/apidocs/update-user-group,Modify the groups associated with the user,PUT,/v2/Teams/{userId}/groups,"{
 ""associated_groups"": [
  ""string""
 ],
 ""is_invitation_id"": true
}
curl --request PUT \
  --url https://apihub.document360.io/v2/Teams/%7BuserId%7D/groups \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""associated_groups"": [
  ""string""
 ],
 ""is_invitation_id"": true



"
13,https://apidocs.document360.com/apidocs/get-user,Get complete user details by id,GET,/v2/Teams/{userId},"curl --request GET \
  --url https://apihub.document360.io/v2/Teams/%7BuserId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
14,https://apidocs.document360.com/apidocs/get-team-groups,Get all user groups,GET,/v2/Teams/groups,"curl --request GET \
  --url https://apihub.document360.io/v2/Teams/groups \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
15,https://apidocs.document360.com/apidocs/add-a-user,Adds a new Team Account,POST,/v2/Teams,"{
 ""email_id"": ""string"",
 ""first_name"": ""string"",
 ""last_name"": ""string"",
 ""invited_by"": ""string"",
 ""is_sso_user"": true,
 ""skip_sso_invitation_email"": true,
 ""associated_portal_role_id"": ""string"",
 ""content_permissions"": [
  {


    ""access_level"": 1,
    ""categories"": [
     {
      ""project_version_id"": ""string"",
      ""category_id"": ""string"",
      ""language_code"": ""string""
     }
curl --request POST \
  --url https://apihub.document360.io/v2/Teams \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""email_id"": ""string"",
 ""first_name"": ""string"",
 ""last_name"": ""string"",
 ""invited_by"": ""string"",


 ""associated_portal_role_id"": ""string"",
 ""content_permissions"": [
  {
   ""associated_content_role_id"": ""string"",
   ""access_scope"": {
    ""access_level"": 1,
    ""categories"": [


"
16,https://apidocs.document360.com/apidocs/add-reader-group,Add a new reader group,POST,/v2/Readers/groups,"{
 ""title"": ""string"",
 ""description"": ""string"",
 ""associated_readers"": [
  ""string""
 ],
 ""access_scope"": {
  ""access_level"": 1,
  ""categories"": [
   {


    ""language_code"": ""string""
   }
  ],
  ""project_versions"": [
   ""string""
  ],
  ""languages"": [
curl --request POST \
  --url https://apihub.document360.io/v2/Readers/groups \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""title"": ""string"",
 ""description"": ""string"",
 ""associated_readers"": [
  ""string""


  ""access_level"": 1,
  ""categories"": [
   {
    ""project_version_id"": ""string"",
    ""category_id"": ""string"",
    ""language_code"": ""string""
   }


"
17,https://apidocs.document360.com/apidocs/get-reader-group,Get a reader group via group id,GET,/v2/Readers/groups/{groupId},"curl --request GET \
  --url 'https://apihub.document360.io/v2/Readers/groups/%7BgroupId%7D?offSet=1' \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
18,https://apidocs.document360.com/apidocs/delete-reader-group,Deletes a reader group,DELETE,/v2/Readers/groups/{groupId},"curl --request DELETE \
  --url https://apihub.document360.io/v2/Readers/groups/%7BgroupId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
19,https://apidocs.document360.com/apidocs/get-readers,Get all available readers from the project,GET,/v2/Readers,"curl --request GET \
  --url 'https://apihub.document360.io/v2/Readers?offSet=1' \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
20,https://apidocs.document360.com/apidocs/get-reader-groups,Get all reader groups,GET,/v2/Readers/groups,"curl --request GET \
  --url 'https://apihub.document360.io/v2/Readers/groups?offSet=1&excludeReaders=False' \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
